Rank,Candidate ID,Final Score,Match Label,Current Title,Experience (Years),Skills Score,Title Score,Career Score,Availability Score,Experience Score,Education Score,GitHub Score
1,CAND_0018499,87.6%,Strong Match,Senior Machine Learning Engineer,7.2,67%,100%,100%,77%,100%,100%,95%
2,CAND_0079387,86.9%,Strong Match,AI Engineer,6.9,78%,100%,90%,71%,100%,100%,64%
3,CAND_0002025,86.3%,Strong Match,Senior AI Engineer,5.9,61%,100%,100%,79%,100%,100%,97%
4,CAND_0042506,85.0%,Good Match,Search Engineer,4.2,66%,100%,100%,83%,86%,95%,64%
5,CAND_0037944,84.9%,Good Match,Senior Data Scientist,4.9,82%,100%,80%,53%,98%,100%,83%
6,CAND_0071974,84.2%,Good Match,Senior AI Engineer,7.8,64%,100%,100%,60%,100%,100%,83%
7,CAND_0095619,83.8%,Good Match,NLP Engineer,15.6,80%,100%,100%,73%,60%,100%,30%
8,CAND_0081846,83.6%,Good Match,Lead AI Engineer,6.7,79%,100%,80%,70%,100%,100%,34%
9,CAND_0088025,83.5%,Good Match,Staff Machine Learning Engineer,8.6,71%,100%,87%,60%,100%,100%,75%
10,CAND_0046064,82.3%,Good Match,Senior NLP Engineer,8.9,55%,100%,100%,71%,100%,100%,67%
11,CAND_0008425,82.3%,Good Match,Senior NLP Engineer,7.8,76%,100%,87%,48%,100%,100%,53%
12,CAND_0074735,82.2%,Good Match,Applied ML Engineer,5.5,64%,100%,100%,40%,100%,100%,88%
13,CAND_0064326,82.0%,Good Match,Search Engineer,7.6,62%,100%,90%,72%,100%,95%,61%
14,CAND_0030031,81.9%,Good Match,AI Engineer,5.7,79%,100%,87%,47%,100%,100%,32%
15,CAND_0039754,81.6%,Good Match,Senior Applied Scientist,16.2,71%,100%,87%,79%,57%,100%,78%
16,CAND_0027691,81.3%,Good Match,NLP Engineer,6.5,64%,100%,87%,69%,100%,95%,58%
17,CAND_0076163,81.0%,Good Match,NLP Engineer,6.9,51%,100%,100%,62%,100%,100%,85%
18,CAND_0050876,80.7%,Good Match,Applied ML Engineer,6.0,52%,100%,100%,56%,100%,100%,86%
19,CAND_0047721,80.4%,Good Match,Senior Data Scientist,7.0,75%,100%,100%,0%,100%,100%,90%
20,CAND_0020708,80.0%,Good Match,Search Engineer,4.2,79%,100%,60%,62%,86%,95%,84%
21,CAND_0044855,79.8%,Good Match,Senior Data Scientist,6.6,81%,100%,87%,21%,100%,95%,47%
22,CAND_0046525,79.7%,Good Match,Senior Machine Learning Engineer,6.1,64%,100%,80%,71%,100%,100%,37%
23,CAND_0058688,79.6%,Good Match,AI Engineer,6.7,51%,100%,100%,70%,100%,100%,39%
24,CAND_0072660,79.3%,Good Match,Machine Learning Engineer,7.1,52%,100%,100%,74%,100%,100%,20%
25,CAND_0075249,79.2%,Good Match,Applied ML Engineer,6.2,71%,100%,80%,51%,100%,100%,37%
26,CAND_0037566,78.8%,Good Match,Machine Learning Engineer,6.9,41%,100%,100%,75%,100%,95%,73%
